역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m,cluster,cluster_label,순위
마들,7호선,1,4,68105.3,1,0,24952,37.66494,127.057675,5.0,1021.6111111111112,8313.722222222223,929.5587298382986,7807.285500538559,5.0,4.68812,-0.0399999999999999,505.794,240.3,3,도시자연공원인접형,1
새절(신사),6호선,1,1,111650.0,1,0,23600,37.591148,126.913629,2.0,1000.0,9720.5,2098.666268484945,20547.388960514178,3.5,3.115,-0.1,60.645,57.99,3,도시자연공원인접형,2
개롱,5호선,1,9,1138363.4,0,0,12953,37.498079,127.13482,6.0,184.66666666666663,2540.6666666666665,198.42425640059216,2354.365307541123,2.6666666666666665,0.7166666666666667,0.5666666666666668,430.6283333333333,217.99,2,도심공원형,3
방이,5호선,1,5,1784475.8,0,0,14716,37.508857,127.126133,4.0,9019.041666666666,29340.541666666664,3668.4974567290974,14301.584156123172,4.0,1.46875,-1.15,532.9875,398.26,2,도심공원형,4
고덕,5호선,1,9,899865.2,0,0,19758,37.555004,127.154151,1.0,29.0,641.0,37.200939723757536,822.2690469975372,2.0,0.54,0.0,314.97,314.97,2,도심공원형,5
수유(강북구청),4호선,1,2,1394510.5,0,0,66513,37.638052,127.025732,3.0,1496.4,21838.2,1384.2417746219664,20728.19613509405,3.0,1.3946666666666665,2.833333333333333,659.1566666666666,557.65,2,도심공원형,6
경찰병원,3호선,1,7,326073.1,0,0,14012,37.495918,127.12454,4.0,87.16666666666667,551.3333333333333,90.02442778966147,592.726887250416,3.0,1.505,1.725,410.74,166.38,2,도심공원형,7
신답,2호선,1,3,38270.4,0,0,3331,37.57004,127.046481,3.0,877.6839826839827,4180.205627705627,2083.475468969727,9979.423673102316,8.0,3.023333333333333,-0.2666666666666666,60.61333333333334,2.63,2,도심공원형,8
신대방,2호선,1,2,497213.1,0,0,47716,37.487462,126.913149,4.0,3154.95,99026.1,5127.006210802148,76858.28544589102,4.75,1.0655,-0.2,467.4875,6.9,2,도심공원형,9
영등포구청,5호선,2,3,1705048.9,0,0,52689,37.5242,126.89503,2.0,144.0,8648.333333333332,28.65938977152388,1725.4434161685192,3.0,0.92,0.1,711.45,638.86,2,도심공원형,10
잠실(송파구청),8호선,2,4,328075.2,0,0,199254,37.514692,127.104338,1.0,2133.2,33618.4,3591.3552793314666,56598.35848616022,5.0,2.652,0.0,257.88,257.88,2,도심공원형,11
신림,2호선,2,1,129677.8,1,0,111309,37.484201,126.929715,2.0,1668.9,13973.6,1417.724183324951,12894.960605479824,4.5,0.9475,-0.25,529.755,322.59,3,도시자연공원인접형,12
을지로3가,2호선,2,3,237363.9,1,0,71896,37.566306,126.991696,3.0,17965.7,40692.110714285714,27859.276969309016,63223.7353176256,6.666666666666667,0.9266666666666667,1.5666666666666664,231.15,225.24,3,도시자연공원인접형,13
석촌,8호선,2,4,358863.2,0,0,36630,37.505557,127.106832,3.0,2490.7,43574.9,2220.2772332509417,39521.53575312266,3.0,1.7473333333333334,0.0,549.9133333333333,410.62,2,도심공원형,14
오금,3호선,2,6,358751.8,0,0,18802,37.502129,127.128319,6.0,151.66666666666666,857.1666666666666,133.16880764084326,744.6173705691571,2.6666666666666665,0.7066666666666667,0.55,491.125,355.02,2,도심공원형,15
