역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m,cluster,cluster_label,자치구,순위
마들,7호선,1,4,68105.3,1,0,24952,37.66494,127.057675,5.0,1021.6111111111112,8313.722222222223,929.5587298382986,7807.285500538559,5.0,4.68812,-0.0399999999999999,505.794,240.3,3,도시자연공원인접형,노원구,1
고덕,5호선,1,9,899865.2,0,0,19758,37.555004,127.154151,1.0,29.0,641.0,37.200939723757536,822.2690469975372,2.0,0.54,0.0,314.97,314.97,2,도심공원형,강동구,2
수유(강북구청),4호선,1,2,1394510.5,0,0,66513,37.638052,127.025732,3.0,1496.4,21838.2,1384.2417746219664,20728.19613509405,3.0,1.3946666666666665,2.833333333333333,659.1566666666666,557.65,2,도심공원형,강북구,3
신답,2호선,1,3,38270.4,0,0,3331,37.57004,127.046481,3.0,877.6839826839827,4180.205627705627,2083.475468969727,9979.423673102316,8.0,3.023333333333333,-0.2666666666666666,60.61333333333334,2.63,2,도심공원형,성동구,4
신대방,2호선,1,2,497213.1,0,0,47716,37.487462,126.913149,4.0,3154.95,99026.1,5127.006210802148,76858.28544589102,4.75,1.0655,-0.2,467.4875,6.9,2,도심공원형,관악구,5
영등포구청,5호선,2,3,1705048.9,0,0,52689,37.5242,126.89503,2.0,144.0,8648.333333333332,28.65938977152388,1725.4434161685192,3.0,0.92,0.1,711.45,638.86,2,도심공원형,영등포구,6
잠실(송파구청),8호선,2,4,328075.2,0,0,199254,37.514692,127.104338,1.0,2133.2,33618.4,3591.3552793314666,56598.35848616022,5.0,2.652,0.0,257.88,257.88,2,도심공원형,송파구,7
여의도,9호선,2,2,245930.2,0,0,111413,37.52176,126.92403,3.0,3775.8888888888887,52499.77777777778,3777.4407416635386,58255.41909176237,5.666666666666667,3.943333333333333,0.2666666666666666,443.85666666666674,394.27,2,도심공원형,영등포구,8
을지로3가,2호선,2,3,237363.9,1,0,71896,37.566306,126.991696,3.0,17965.7,40692.110714285714,27859.276969309016,63223.7353176256,6.666666666666667,0.9266666666666667,1.5666666666666664,231.15,225.24,3,도시자연공원인접형,중구,9
오금,3호선,2,6,358751.8,0,0,18802,37.502129,127.128319,6.0,151.66666666666666,857.1666666666666,133.16880764084326,744.6173705691571,2.6666666666666665,0.7066666666666667,0.55,491.125,355.02,2,도심공원형,송파구,10
