변수,Kruskal-Wallis H,p-value,유의성
한강공원수,306.8456510809453,3.281874839334363e-66,유의함
도시자연공원수,287.39086647550647,5.327778566753939e-62,유의함
공원면적합산(㎡),147.0327141019412,1.150331519106268e-31,유의함
공원수,135.1350819656961,4.2295363040920694e-29,유의함
보정_이용자수합계,94.98464323988175,1.860440131664716e-20,유의함
거리보정_이용자수합계,91.98252945090718,8.216503584544895e-20,유의함
보정_누적기록합계,80.87035138137736,1.9968023030075384e-17,유의함
거리보정_누적기록합계,80.0620909885155,2.97658080875178e-17,유의함
평균_코스거리,67.38905215861747,1.5459480451083625e-14,유의함
러닝_segment수,66.70689028431751,2.1636064489448567e-14,유의함
평균_역_segment거리_m,33.62769209660827,2.374163190047531e-07,유의함
평균_segment_매핑역수,27.30793442121904,5.074014690005015e-06,유의함
평균_경사,23.882942309917368,2.642580937484756e-05,유의함
최소_역_segment거리_m,16.9264065756957,0.0007318041626783977,유의함
환승역수,2.7121424438496886,0.43816775562564614,유의하지 않음
daily_avg,1.8709857973909134,0.5996107695356598,유의하지 않음
